"TIMESTAMP","PAYLOAD"
"2016-05-13 17:29:00.00","02,58,2B,01,23,CB,00,31,FF,FA,FF,DB"
"2016-05-13 17:29:00.01","02,58,2B,01,23,CB,00,31,FF,FA,FF,DB"
"2016-05-13 17:29:00.02","01,64,7E,01,59,84,00,32,FF,FB,FF,DC"
"2016-05-13 17:29:00.03","01,5C,EE,01,5A,47,00,32,FF,FB,FF,DC"
"2016-05-13 17:29:00.04","01,5A,E2,01,59,A6,00,36,FF,F5,FF,DB"
"2016-05-13 17:29:00.05","01,5A,24,01,59,69,00,32,FF,F9,FF,DC"
"2016-05-13 17:29:00.06","01,59,61,01,58,50,00,32,FF,F9,FF,DC"
"2016-05-13 17:29:00.07","01,5A,3F,01,58,F2,00,31,FF,F9,FF,DC"
"2016-05-13 17:29:00.08","01,57,DC,01,57,3F,00,31,FF,FA,FF,DA"
"2016-05-13 17:29:00.09","01,57,59,01,56,2E,00,31,FF,FA,FF,DA"
"2016-05-13 17:29:00.10","01,55,61,01,54,48,00,30,FF,FE,FF,DB"
"2016-05-13 17:29:00.11","01,54,2F,01,53,26,00,30,FF,FE,FF,DB"
"2016-05-13 17:29:00.12","01,54,60,01,52,DD,00,35,FF,FA,FF,D8"
"2016-05-13 17:29:00.13","01,53,EA,01,52,51,00,34,FF,F9,FF,D7"
"2016-05-13 17:29:00.14","01,51,B2,01,50,6A,00,34,FF,F9,FF,D7"
"2016-05-13 17:29:00.15","01,52,37,01,50,EA,00,32,FF,F9,FF,D7"
"2016-05-13 17:29:00.16","01,50,CB,01,50,7B,00,32,FF,F9,FF,D7"
"2016-05-13 17:29:00.17","01,51,5F,01,50,1E,00,32,FF,F9,FF,D8"
"2016-05-13 17:29:00.18","01,51,D0,01,50,B2,00,30,FF,FA,FF,DA"
"2016-05-13 17:29:00.19","01,54,A9,01,52,EE,00,30,FF,FA,FF,DA"
"2016-05-13 17:29:00.20","01,57,71,01,56,07,00,2F,FF,FA,FF,DF"
"2016-05-13 17:29:00.21","01,5A,EE,01,59,76,00,2F,FF,FA,FF,DF"
"2016-05-13 17:29:00.22","01,5D,A9,01,5C,D0,00,31,FF,F8,FF,D8"
"2016-05-13 17:29:00.23","01,60,ED,01,60,3A,00,31,FF,FB,FF,D6"
"2016-05-13 17:29:00.24","01,63,7E,01,61,B1,00,31,FF,FB,FF,D6"
"2016-05-13 17:29:00.25","01,64,D4,01,64,1C,00,32,FF,F9,FF,D5"
"2016-05-13 17:29:00.26","01,68,B4,01,67,39,00,32,FF,F9,FF,D5"
"2016-05-13 17:29:00.27","01,6A,C2,01,69,C7,00,2F,FF,FB,FF,D7"
"2016-05-13 17:29:00.28","01,6B,FD,01,6A,79,00,2D,FF,FB,FF,DA"
"2016-05-13 17:29:00.29","01,6E,C1,01,6D,28,00,2D,FF,FB,FF,DA"
"2016-05-13 17:29:00.30","01,6F,64,01,6E,31,00,2D,FF,F9,FF,DC"
"2016-05-13 17:29:00.31","01,71,4C,01,6F,ED,00,2E,FF,FB,FF,DC"
